overview,original_title,poster_path
"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.An offer you can't refuse.",The Godfather,https://image.tmdb.org/t/p/original//3bhkrj58Vtu7enYsRolD1fZdja1.jpg
"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.Bring Him Home",The Martian,https://image.tmdb.org/t/p/original//5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg
"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.He's the only kid ever to get into trouble before he was born.",Back to the Future,https://image.tmdb.org/t/p/original//fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.Every generation has a story.",Star Wars: The Force Awakens,https://image.tmdb.org/t/p/original//wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg
"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.The Multiverse unleashed.",Spider-Man: No Way Home,https://image.tmdb.org/t/p/original//5weKu49pzJCt06OPpjvT80efnQj.jpg
"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.Evil Must Be Confronted.",Harry Potter and the Order of the Phoenix,https://image.tmdb.org/t/p/original//5aOyriWkPec0zUDxmHFP9qMmBaj.jpg
"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.Dark Secrets Revealed",Harry Potter and the Half-Blood Prince,https://image.tmdb.org/t/p/original//z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.His time has come.",Logan,https://image.tmdb.org/t/p/original//fnbjcRDYn6YviCcePDnGdyAkYsB.jpg
"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.There are 3.7 trillion fish in the ocean. They're looking for one.",Finding Nemo,https://image.tmdb.org/t/p/original//ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg
"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.You’ll float too",It,https://image.tmdb.org/t/p/original//9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg
